Startup_Name,Industry,Business_Model,Target_Market_Size,Budget_INR,Employees_Count,Founder_Experience_Years,Project_Description,Success_Probability,Success_Status,Financial_Risk,Market_Risk,Technical_Risk,Business_Risk,Regulatory_Risk,Overall_Risk_Score
SolarSync9123,Technology,Marketplace,Medium,585124,74,11,A Marketplace technology platform serving medium buyers and sellers.,95,1,28.750224,29.306813,38.667955,34.708895,40.500154,10
CobaltSync552,E-commerce,B2B,Small,374757,17,5,A scalable e-commerce solution targeting small businesses.,82,1,35.547713,38.425677,40.312797,33.117517,36.89552,23
NexusByte271,Healthcare,SaaS,Large,2637070,491,14,A digital healthcare platform using a SaaS model for large organizations.,95,1,31.404892,37.175065,40.795625,33.713678,33.23276,10
Pulse-Sphere,Healthcare,Subscription,Medium,773973,51,12,An AI-powered Subscription healthcare solution for medium subscribers.,95,1,30.808034,34.121561,32.211662,27.586856,37.235039,10
Omega-Hub,Agriculture,Other,Small,11757,1,0,A digital agriculture platform using a Other model for small customers.,48,0,52.587071,47.088627,52.360898,47.565613,41.946628,57
CosmicDynamo,E-commerce,Subscription,Large,1480068,497,20,A Subscription e-commerce platform serving large subscribers.,95,1,26.194585,33.31694,35.909341,33.916878,32.988873,10
QuantumIgnite598,SaaS,Marketplace,Large,1071994,34,10,A scalable software solution targeting large buyers and sellers.,95,1,27.690807,33.35668,40.300218,35.051969,39.79517,10
Nova Core,Manufacturing,B2B,Medium,1888655,35,14,A technology-driven B2B platform focused on medium manufacturing operations.,95,1,31.253322,29.338916,36.293917,35.709105,39.251714,10
Vortex-Rise,Retail,B2C,Small,33551,1,0,An AI-powered B2C retail solution for small consumers.,48,0,55.154962,44.423711,47.199858,46.958382,41.62523,57
ZenithShift797,Finance,Other,Large,154342,10,9,A digital financial platform using a Other model for large customers.,73,1,39.085915,45.52462,44.310785,41.175528,43.761407,32
Vector Scale,Manufacturing,Freemium,Large,304467,30,4,A scalable manufacturing solution targeting large users.,84,1,34.312549,32.853794,40.268741,32.174124,36.928355,21
AeroX,E-commerce,Subscription,Large,9080009,100,20,A modern e-commerce venture delivering solutions for large subscribers.,95,1,26.173755,38.194609,32.524351,35.474459,34.0361,10
VortexHub5054,Education,Subscription,Large,1895402,41,14,A technology-driven Subscription platform focused on large education operations.,95,1,27.304847,37.202407,35.453706,33.765417,39.83874,10
VectorDrive105,Manufacturing,Marketplace,Large,1141024,38,10,A modern manufacturing venture delivering solutions for large buyers and sellers.,95,1,24.488349,31.637034,37.326614,30.731189,35.422328,10
VortexDrive,Technology,Subscription,Medium,289777,19,7,A Subscription technology platform serving medium subscribers.,92,1,31.146595,38.01205,35.769413,30.861446,38.91928,13
PrimeNest6364,Real Estate,Other,Medium,53249,5,2,An AI-powered Other real estate solution for medium customers.,62,1,44.969967,46.762731,48.900493,42.493872,45.184134,43
AtlasX,Food & Beverage,B2C,Small,259888,49,10,A modern food and beverage venture delivering solutions for small consumers.,86,1,29.718554,33.790986,40.700674,33.465216,32.92788,19
Solar-Wave,Other,C2C,Small,10050,2,0,An AI-powered C2C digital services solution for small individual users.,47,0,50.719105,47.951688,43.490659,49.694422,44.21262,58
Ruby-Core,Manufacturing,Direct Sales,Medium,942761,83,14,A technology-driven Direct Sales platform focused on medium manufacturing operations.,95,1,27.818504,33.256121,32.890045,33.969108,40.134032,10
CobaltScale748,Healthcare,Marketplace,Large,224888,91,9,A Marketplace healthcare platform serving large buyers and sellers.,95,1,30.446283,29.919852,36.776334,28.88625,34.989298,10
SilverSystems9579,E-commerce,Subscription,Medium,1949110,82,14,A modern e-commerce venture delivering solutions for medium subscribers.,95,1,31.269505,29.502749,40.658919,30.3715,37.190823,10
TerraForge9163,E-commerce,Other,Small,421384,24,2,An AI-powered Other e-commerce solution for small customers.,80,1,34.937546,38.867941,41.270293,33.888454,36.002207,25
Vertex-Bridge,Energy,SaaS,Large,9280835,92,16,A technology-driven SaaS platform focused on large energy operations.,95,1,30.031568,35.835319,36.80213,36.459473,31.439037,10
Terra Grid,Healthcare,Subscription,Large,2077991,150,14,A technology-driven Subscription platform focused on large healthcare operations.,95,1,31.523549,32.666333,40.373517,31.661534,38.702073,10
PulseSync,Technology,Marketplace,Medium,1144572,60,14,A technology-driven Marketplace platform focused on medium technology operations.,95,1,32.339785,37.074518,32.143238,34.84806,35.631736,10
